cam_id,frame_id,timestamp,obj_class,confidence
1,125,25-08-2025 15:40:06,person,0.92
0,125,25-08-2025 15:40:06,person,0.75
1,128,25-08-2025 15:40:07,person,0.88
0,128,25-08-2025 15:40:07,person,0.80
1,131,25-08-2025 15:40:07,person,0.90
0,131,25-08-2025 15:40:07,person,0.82
1,134,25-08-2025 15:40:07,person,0.87
1,134,25-08-2025 15:40:07,car,0.11
0,134,25-08-2025 15:40:07,person,0.79
1,137,25-08-2025 15:40:08,person,0.91
0,137,25-08-2025 15:40:08,person,0.75
1,140,25-08-2025 15:40:08,person,0.90
0,140,25-08-2025 15:40:08,person,0.68
1,143,25-08-2025 15:40:08,person,0.90
0,143,25-08-2025 15:40:08,person,0.38
0,143,25-08-2025 15:40:08,person,0.16
1,146,25-08-2025 15:40:08,person,0.91
1,149,25-08-2025 15:40:09,person,0.90
1,152,25-08-2025 15:40:09,person,0.90
1,155,25-08-2025 15:40:09,person,0.90
1,158,25-08-2025 15:40:10,person,0.90
0,158,25-08-2025 15:40:10,person,0.14
1,161,25-08-2025 15:40:10,person,0.93
1,164,25-08-2025 15:40:10,person,0.87
1,164,25-08-2025 15:40:10,person,0.77
0,164,25-08-2025 15:40:10,person,0.24
0,167,25-08-2025 15:40:10,person,0.31
0,167,25-08-2025 15:40:10,person,0.10
1,167,25-08-2025 15:40:11,person,0.49
0,170,25-08-2025 15:40:11,person,0.31
0,170,25-08-2025 15:40:11,person,0.11
1,170,25-08-2025 15:40:11,person,0.42
1,170,25-08-2025 15:40:11,person,0.20
0,173,25-08-2025 15:40:11,person,0.20
1,173,25-08-2025 15:40:11,person,0.48
0,176,25-08-2025 15:40:11,person,0.26
0,176,25-08-2025 15:40:11,person,0.23
1,176,25-08-2025 15:40:11,person,0.71
1,176,25-08-2025 15:40:11,person,0.37
0,179,25-08-2025 15:40:12,person,0.52
0,179,25-08-2025 15:40:12,person,0.30
1,179,25-08-2025 15:40:12,person,0.66
1,179,25-08-2025 15:40:12,person,0.33
1,179,25-08-2025 15:40:12,person,0.22
0,182,25-08-2025 15:40:12,person,0.74
0,182,25-08-2025 15:40:12,person,0.16
1,182,25-08-2025 15:40:12,person,0.81
1,182,25-08-2025 15:40:12,person,0.40
1,182,25-08-2025 15:40:12,person,0.39
1,182,25-08-2025 15:40:12,person,0.10
0,185,25-08-2025 15:40:12,person,0.76
0,185,25-08-2025 15:40:12,person,0.11
1,185,25-08-2025 15:40:12,person,0.92
0,188,25-08-2025 15:40:13,person,0.78
1,188,25-08-2025 15:40:13,person,0.90
0,191,25-08-2025 15:40:13,person,0.76
1,191,25-08-2025 15:40:13,person,0.90
1,194,25-08-2025 15:40:13,person,0.91
1,197,25-08-2025 15:40:13,person,0.89
0,199,25-08-2025 15:40:13,person,0.69
1,200,25-08-2025 15:40:14,person,0.91
0,202,25-08-2025 15:40:14,person,0.72
1,203,25-08-2025 15:40:14,person,0.90
0,205,25-08-2025 15:40:14,person,0.72
1,206,25-08-2025 15:40:14,person,0.89
0,208,25-08-2025 15:40:14,person,0.67
1,209,25-08-2025 15:40:14,person,0.88
0,211,25-08-2025 15:40:15,person,0.71
1,212,25-08-2025 15:40:15,person,0.89
0,214,25-08-2025 15:40:15,person,0.74
1,215,25-08-2025 15:40:15,person,0.91
