1,222,26-08-2025 16:05:21,person,0.49
0,230,26-08-2025 16:05:21,person,0.88
0,233,26-08-2025 16:05:22,person,0.89
1,225,26-08-2025 16:05:22,person,0.54
0,236,26-08-2025 16:05:22,person,0.88
1,228,26-08-2025 16:05:22,person,0.55
0,239,26-08-2025 16:05:22,person,0.88
1,231,26-08-2025 16:05:23,person,0.49
0,242,26-08-2025 16:05:23,person,0.89
1,234,26-08-2025 16:05:23,person,0.55
0,245,26-08-2025 16:05:23,person,0.89
1,237,26-08-2025 16:05:24,person,0.31
0,248,26-08-2025 16:05:24,person,0.90
1,240,26-08-2025 16:05:24,person,0.24
0,251,26-08-2025 16:05:24,person,0.89
0,254,26-08-2025 16:05:25,person,0.83
1,246,26-08-2025 16:05:25,person,0.28
0,257,26-08-2025 16:05:25,person,0.77
1,249,26-08-2025 16:05:25,person,0.42
0,260,26-08-2025 16:05:26,person,0.88
1,252,26-08-2025 16:05:26,person,0.33
0,263,26-08-2025 16:05:26,person,0.88
0,266,26-08-2025 16:05:26,person,0.88
0,269,26-08-2025 16:05:26,person,0.89
0,272,26-08-2025 16:05:27,person,0.89
0,275,26-08-2025 16:05:27,person,0.88
0,278,26-08-2025 16:05:27,person,0.89
0,281,26-08-2025 16:05:27,person,0.89
0,284,26-08-2025 16:05:28,person,0.87
0,287,26-08-2025 16:05:28,person,0.85
0,290,26-08-2025 16:05:28,person,0.83
0,293,26-08-2025 16:05:28,person,0.90
0,296,26-08-2025 16:05:28,person,0.90
0,299,26-08-2025 16:05:29,person,0.83
0,302,26-08-2025 16:05:29,person,0.83
0,305,26-08-2025 16:05:29,person,0.82
0,308,26-08-2025 16:05:29,person,0.83
0,311,26-08-2025 16:05:30,person,0.84
0,314,26-08-2025 16:05:30,person,0.84
0,317,26-08-2025 16:05:30,person,0.84
0,320,26-08-2025 16:05:30,person,0.84
0,323,26-08-2025 16:05:30,person,0.84
0,326,26-08-2025 16:05:31,person,0.84
0,329,26-08-2025 16:05:31,person,0.82
0,332,26-08-2025 16:05:31,person,0.81
0,335,26-08-2025 16:05:31,person,0.81
0,338,26-08-2025 16:05:32,person,0.80
0,341,26-08-2025 16:05:32,person,0.80
0,344,26-08-2025 16:05:32,person,0.82
0,347,26-08-2025 16:05:32,person,0.89
0,350,26-08-2025 16:05:32,person,0.90
0,353,26-08-2025 16:05:33,person,0.88
0,356,26-08-2025 16:05:33,person,0.88
0,359,26-08-2025 16:05:33,person,0.89
0,362,26-08-2025 16:05:33,person,0.87
0,365,26-08-2025 16:05:34,person,0.86
0,368,26-08-2025 16:05:34,person,0.85
0,371,26-08-2025 16:05:34,person,0.84
0,374,26-08-2025 16:05:34,person,0.82
0,377,26-08-2025 16:05:34,person,0.86
0,380,26-08-2025 16:05:35,person,0.81
0,383,26-08-2025 16:05:35,person,0.85
0,386,26-08-2025 16:05:35,person,0.82
0,389,26-08-2025 16:05:35,person,0.83
0,392,26-08-2025 16:05:36,person,0.89
0,395,26-08-2025 16:05:36,person,0.81
0,398,26-08-2025 16:05:36,person,0.91
0,401,26-08-2025 16:05:36,person,0.90
0,404,26-08-2025 16:05:37,person,0.87
0,407,26-08-2025 16:05:37,person,0.91
0,410,26-08-2025 16:05:37,person,0.91
0,413,26-08-2025 16:05:37,person,0.86
0,416,26-08-2025 16:05:37,person,0.81
0,419,26-08-2025 16:05:38,person,0.74
0,422,26-08-2025 16:05:38,person,0.80
0,425,26-08-2025 16:05:38,person,0.82
